action,Context,Meaning,Pose,Face,Hands,Video
regal-stance,Arms behind the back,confidence.,1,0,0,./amr videos/regal stance.mp4
arms-akimbo,Putting your hands on the hips,territorial/dominance.,1,0,1,./amr videos/Arms akimbo.mp4
hood,Interlaced hands behind the head,comfort/dominance.,1,0,0,./amr videos/hood.mp4
arms-1,Fingertips planted spread apart on a surface,territorial/confidence/authority.,1,0,1,./amr videos/arms 1.mp4
arms-2,Arms spread out over chairs,confidence/comfortable.,1,0,1,./amr videos/arms 2.mp4
finger-pointing,Point finger directly at one,offensive.,1,0,1,./amr videos/finger pointing.mp4
nail-biting,Biting the nials,insecurity/nervousness.,1,0,1,./amr videos/Nail-biting.mp4
steepling-of-hands,Fingertip to fingertip,confidence.,1,0,1,./amr videos/Steepling of hands.mp4
hand-wringing,Putting hands closley and interlacing the fingers with togeather,stressed/concerned.,1,0,1,./amr videos/Hand-wringing.mp4
thumb-sticking-out-of-the-pocket,Most of the fingers inside pocket and the thump is outside,condidence.,1,0,1,./amr videos/thumb sticking out of the pocket.mp4
eye-blocking-with-the-hands,Blocking eyes with hands,discomfort.,1,0,1,./amr videos/Eye blocking with the hands.mp4
"eye-flash","Flashbulb eyes is the eyebrow raise or eye flash that takes place very quickly, staccato-like, during a positive emotional event",excited/positive-emotions.,0,1,0,./amr videos/eye_flash.mp4
rogatory,The palms-up position,not-dominance/not-confidence.,1,0,1,./amr videos/rogatory.mp4
eye-blocking,When we feel threatened or don't like what we see we close eyes or shielding it,discomfort.,0,1,0,./amr videos/eye blocking.mp4
lip-compression,People press their lips together seems to be disapper,disagreement/refusal.,0,1,0,./amr videos/lip compression.mp4
stressed-face,Eyebrows are knitted and the forehead is furrowed,stressed.,0,1,0,./amr videos/stressed face.mp4
turtle-effect,Raising shoulder and lowers head,not-confidence/humbled.,1,0,0,./amr videos/turtle effect.mp4
neck-touching-and-or-stroking,Covering of the neck by hand / Playing with a necklace often serves the same purpose.,insecurity/emotional-discomfort/fear.,1,0,1,./amr videos/Neck touching andor stroking.mp4
rubbing-of-the-forehead,Rubbing of the forehead by hand or finger,struggling/discomfort.,1,0,1,./amr videos/Rubbing of the forehead.mp4
neck-touching,Put his hand on his neck,emotional-discomfort/doubt/insecurity.,1,0,1,./amr videos/Neck touching.mp4
cheek-or-face-touching,Touch face by fingers,nervous/irritated/concerned.,1,0,1,./amr videos/Cheek or face touching
puffed-out-cheeks,His mouth is closed and his cheeks getting bigger with air,stressed.,0,1,0,./amr videos/Puffed out cheeks.mp4
adjusting-tie,Men adjust their ties,insecurity/discomfort.,1,0,1,./amr videos/adjusting tie.mp4
massage-or-stroke-their-necks,Men tend to massage or stroke their necks,stressed.,1,0,1,./amr videos/massage_or_stroke_their_necks.mp4
leg-cleansing,"A person places the hand (or hands) palm down on top of the leg (or legs), and then slides them down the thighs toward the knee",discomfort/anxiety.,1,0,1,./amr videos/Leg Cleansing.mp4
neck-relief,Ventilating of the neck area,stressed/emotional-discomfort.,1,0,1,./amr videos/Neck relief.mp4
happy-feet,Feet and legs that wiggle and/or bounce with joy :D,positive-emotions.,1,0,0,./amr videos/happy feet.mp4
